"start_month","length_months","window","pct_1990_1994","pct_2020_2024","change_pct","fog_days_1990_1994"
"Apr",1,"Apr",3,0,-100,9
"May",1,"May",0.97,0,-100,3
"Aug",1,"Aug",0.65,0,-100,2
"Apr",2,"AprMay",1.97,0,-100,12
"Apr",3,"AprMayJun",1.43,0.11,-92.3,13
"Apr",5,"AprMayJunJulAug",1.24,0.13,-89.5,19
"Apr",4,"AprMayJunJul",1.39,0.16,-88.2,17
"Apr",6,"AprMayJunJulAugSep",1.31,0.16,-87.5,24
"Aug",2,"AugSep",1.15,0.16,-85.7,7
"Mar",3,"MarAprMay",3.59,0.54,-84.8,33
"Mar",2,"MarApr",4.92,0.82,-83.3,30
"Jul",2,"JulAug",0.97,0.16,-83.3,6
"Mar",6,"MarAprMayJunJulAug",2.17,0.38,-82.5,40
"Mar",4,"MarAprMayJun",2.79,0.49,-82.4,34
"Mar",7,"MarAprMayJunJulAugSep",2.1,0.37,-82.2,45
"Jul",3,"JulAugSep",1.2,0.22,-81.8,11
"Mar",5,"MarAprMayJunJul",2.48,0.46,-81.6,38
"Sep",1,"Sep",1.67,0.33,-80,5
"May",4,"MayJunJulAug",0.81,0.16,-80,10
"May",5,"MayJunJulAugSep",0.98,0.2,-80,15
"Feb",4,"FebMarAprMay",5.49,1.25,-77.3,66
"Feb",8,"FebMarAprMayJunJulAugSep",3.22,0.74,-76.9,78
"Feb",7,"FebMarAprMayJunJulAug",3.44,0.8,-76.7,73
"Mar",1,"Mar",6.77,1.61,-76.2,21
"Feb",3,"FebMarApr",7.06,1.68,-76.2,63
"Feb",5,"FebMarAprMayJun",4.46,1.06,-76.2,67
"Feb",6,"FebMarAprMayJunJul",3.92,0.94,-76.1,71
"Jul",1,"Jul",1.29,0.32,-75,4
"May",2,"MayJun",0.66,0.16,-75,4
"May",3,"MayJunJul",0.87,0.22,-75,8
"Jun",4,"JunJulAugSep",0.98,0.25,-75,12
"Feb",2,"FebMar",9.12,2.53,-72.3,54
"Jun",3,"JunJulAug",0.76,0.22,-71.4,7
"Feb",1,"Feb",11.7,3.52,-69.9,33
"Feb",9,"FebMarAprMayJunJulAugSepOct",4.65,1.54,-67,127
"Mar",8,"MarAprMayJunJulAugSepOct",3.84,1.31,-66,94
"Apr",7,"AprMayJunJulAugSepOct",3.41,1.26,-63,73
"Jun",2,"JunJul",0.82,0.33,-60,5
"May",6,"MayJunJulAugSepOct",3.48,1.47,-57.8,64
"Jul",4,"JulAugSepOct",4.88,2.11,-56.7,60
"Jun",5,"JunJulAugSepOct",3.99,1.76,-55.7,61
"Aug",3,"AugSepOct",6.09,2.72,-55.4,56
"Jan",9,"JanFebMarAprMayJunJulAugSep",4.1,1.87,-54.5,112
"Sep",2,"SepOct",8.85,4.1,-53.7,54
"Jan",10,"JanFebMarAprMayJunJulAugSepOct",5.29,2.46,-53.4,161
"Jan",8,"JanFebMarAprMayJunJulAug",4.4,2.05,-53.3,107
"Jan",7,"JanFebMarAprMayJunJul",4.95,2.35,-52.4,105
"Jan",5,"JanFebMarAprMay",6.61,3.17,-52.1,100
"Jan",6,"JanFebMarAprMayJun",5.57,2.7,-51.5,101
"Oct",1,"Oct",15.81,7.74,-51,49
"Jan",4,"JanFebMarApr",8.07,3.99,-50.6,97
"Feb",10,"FebMarAprMayJunJulAugSepOctNov",5.64,2.9,-48.6,171
"Dec",11,"DecJanFebMarAprMayJunJulAugSepOct",5.85,3.1,-47,196
"Jan",3,"JanFebMar",9.76,5.31,-45.6,88
"Dec",10,"DecJanFebMarAprMayJunJulAugSep",4.83,2.63,-45.6,147
"Dec",9,"DecJanFebMarAprMayJunJulAug",5.18,2.88,-44.4,142
"Dec",8,"DecJanFebMarAprMayJunJul",5.76,3.25,-43.6,140
"Mar",9,"MarAprMayJunJulAugSepOctNov",5.02,2.84,-43.5,138
"Feb",11,"FebMarAprMayJunJulAugSepOctNovDec",6.16,3.5,-43.2,206
"Dec",6,"DecJanFebMarAprMay",7.41,4.22,-43,135
"Dec",7,"DecJanFebMarAprMayJun",6.41,3.67,-42.7,136
"Dec",5,"DecJanFebMarApr",8.73,5.09,-41.7,132
"Jan",11,"JanFebMarAprMayJunJulAugSepOctNov",6.13,3.62,-41,205
"Mar",10,"MarAprMayJunJulAugSepOctNovDec",5.65,3.5,-38.2,173
"Jul",11,"JulAugSepOctNovDecJanFebMarAprMay",7.13,4.44,-37.7,239
"Apr",8,"AprMayJunJulAugSepOctNov",4.8,2.99,-37.6,117
"Dec",4,"DecJanFebMar",10.15,6.34,-37.5,123
"Jan",12,"JanFebMarAprMayJunJulAugSepOctNovDec",6.57,4.11,-37.5,240
"Feb",12,"FebMarAprMayJunJulAugSepOctNovDecJan",6.57,4.11,-37.5,240
"Mar",12,"MarAprMayJunJulAugSepOctNovDecJanFeb",6.57,4.11,-37.5,240
"Apr",12,"AprMayJunJulAugSepOctNovDecJanFebMar",6.57,4.11,-37.5,240
"May",12,"MayJunJulAugSepOctNovDecJanFebMarApr",6.57,4.11,-37.5,240
"Jun",12,"JunJulAugSepOctNovDecJanFebMarAprMay",6.57,4.11,-37.5,240
"Jul",12,"JulAugSepOctNovDecJanFebMarAprMayJun",6.57,4.11,-37.5,240
"Aug",12,"AugSepOctNovDecJanFebMarAprMayJunJul",6.57,4.11,-37.5,240
"Sep",12,"SepOctNovDecJanFebMarAprMayJunJulAug",6.57,4.11,-37.5,240
"Oct",12,"OctNovDecJanFebMarAprMayJunJulAugSep",6.57,4.11,-37.5,240
"Nov",12,"NovDecJanFebMarAprMayJunJulAugSepOct",6.57,4.11,-37.5,240
"Dec",12,"DecJanFebMarAprMayJunJulAugSepOctNov",6.57,4.11,-37.5,240
"Aug",10,"AugSepOctNovDecJanFebMarAprMay",7.73,4.86,-37.1,235
"Sep",11,"SepOctNovDecJanFebMarAprMayJunJul",7.12,4.49,-37,238
"Jul",10,"JulAugSepOctNovDecJanFebMarApr",7.76,4.89,-36.9,236
"Aug",11,"AugSepOctNovDecJanFebMarAprMayJun",7.06,4.46,-36.9,236
"Jun",11,"JunJulAugSepOctNovDecJanFebMarApr",7.09,4.49,-36.7,237
