"year","fog_days","station_days","fog_day_pct"
1990,227,3650,6.219
1991,253,3650,6.932
1992,229,3660,6.257
1993,306,3620,8.453
1994,279,3558,7.841
1995,365,3650,10
1996,367,3476,10.558
1997,252,2675,9.421
1998,216,2920,7.397
1999,279,3134,8.902
2000,311,3294,9.441
2001,270,3560,7.584
2002,313,3650,8.575
2003,320,3650,8.767
2004,322,3660,8.798
2005,280,3650,7.671
2006,278,3650,7.616
2007,223,3650,6.11
2008,193,2928,6.592
2009,252,2920,8.63
2010,234,2920,8.014
2011,259,2920,8.87
2012,195,2928,6.66
2013,220,2889,7.615
2014,214,2555,8.376
2015,151,2555,5.91
2016,163,2562,6.362
2017,114,2555,4.462
2018,150,2405,6.237
2019,112,2554,4.385
2020,154,2502,6.155
2021,136,2555,5.323
2022,120,2433,4.932
2023,74,2214,3.342
2024,109,2271,4.8
2025,137,2073,6.609
