"station","year","reported","fog_days","fog_day_pct","partial"
20,1990,365,0,0,FALSE
20,1991,365,0,0,FALSE
20,1992,366,0,0,FALSE
20,1993,365,0,0,FALSE
20,1994,365,0,0,FALSE
20,1995,365,2,0.55,FALSE
20,1996,366,0,0,FALSE
20,1997,0,0,NA,TRUE
20,1998,0,0,NA,TRUE
20,1999,0,0,NA,TRUE
20,2000,0,0,NA,TRUE
20,2001,275,20,7.27,TRUE
20,2002,365,42,11.51,FALSE
20,2003,365,31,8.49,FALSE
20,2004,366,37,10.11,FALSE
20,2005,365,37,10.14,FALSE
20,2006,365,19,5.21,FALSE
20,2007,365,28,7.67,FALSE
20,2008,0,0,NA,TRUE
20,2009,0,0,NA,TRUE
20,2010,0,0,NA,TRUE
20,2011,0,0,NA,TRUE
20,2012,0,0,NA,TRUE
20,2013,0,0,NA,TRUE
20,2014,0,0,NA,TRUE
20,2015,0,0,NA,TRUE
20,2016,0,0,NA,TRUE
20,2017,0,0,NA,TRUE
20,2018,0,0,NA,TRUE
20,2019,0,0,NA,TRUE
20,2020,0,0,NA,TRUE
20,2021,0,0,NA,TRUE
20,2022,0,0,NA,TRUE
20,2023,0,0,NA,TRUE
20,2024,0,0,NA,TRUE
20,2025,0,0,NA,TRUE
30,1990,365,29,7.95,FALSE
30,1991,365,37,10.14,FALSE
30,1992,366,29,7.92,FALSE
30,1993,365,21,5.75,FALSE
30,1994,365,29,7.95,FALSE
30,1995,365,41,11.23,FALSE
30,1996,366,38,10.38,FALSE
30,1997,365,34,9.32,FALSE
30,1998,365,16,4.38,FALSE
30,1999,365,29,7.95,FALSE
30,2000,366,24,6.56,FALSE
30,2001,365,10,2.74,FALSE
30,2002,365,14,3.84,FALSE
30,2003,365,10,2.74,FALSE
30,2004,366,7,1.91,FALSE
30,2005,365,16,4.38,FALSE
30,2006,365,11,3.01,FALSE
30,2007,365,8,2.19,FALSE
30,2008,366,16,4.37,FALSE
30,2009,365,14,3.84,FALSE
30,2010,365,9,2.47,FALSE
30,2011,365,21,5.75,FALSE
30,2012,366,7,1.91,FALSE
30,2013,365,17,4.66,FALSE
30,2014,365,13,3.56,FALSE
30,2015,365,13,3.56,FALSE
30,2016,366,14,3.83,FALSE
30,2017,365,8,2.19,FALSE
30,2018,365,11,3.01,FALSE
30,2019,365,7,1.92,FALSE
30,2020,366,15,4.1,FALSE
30,2021,365,12,3.29,FALSE
30,2022,243,1,0.41,TRUE
30,2023,122,1,0.82,TRUE
30,2024,366,4,1.09,FALSE
30,2025,365,17,4.66,FALSE
35,1990,365,0,0,FALSE
35,1991,365,8,2.19,FALSE
35,1992,366,19,5.19,FALSE
35,1993,365,43,11.78,FALSE
35,1994,365,57,15.62,FALSE
35,1995,365,91,24.93,FALSE
35,1996,366,123,33.61,FALSE
35,1997,120,2,1.67,TRUE
35,1998,365,25,6.85,FALSE
35,1999,365,30,8.22,FALSE
35,2000,366,28,7.65,FALSE
35,2001,365,35,9.59,FALSE
35,2002,365,46,12.6,FALSE
35,2003,365,34,9.32,FALSE
35,2004,366,30,8.2,FALSE
35,2005,365,27,7.4,FALSE
35,2006,365,15,4.11,FALSE
35,2007,365,9,2.47,FALSE
35,2008,0,0,NA,TRUE
35,2009,0,0,NA,TRUE
35,2010,0,0,NA,TRUE
35,2011,0,0,NA,TRUE
35,2012,0,0,NA,TRUE
35,2013,0,0,NA,TRUE
35,2014,0,0,NA,TRUE
35,2015,0,0,NA,TRUE
35,2016,0,0,NA,TRUE
35,2017,0,0,NA,TRUE
35,2018,0,0,NA,TRUE
35,2019,0,0,NA,TRUE
35,2020,0,0,NA,TRUE
35,2021,0,0,NA,TRUE
35,2022,0,0,NA,TRUE
35,2023,0,0,NA,TRUE
35,2024,0,0,NA,TRUE
35,2025,0,0,NA,TRUE
80,1990,365,20,5.48,FALSE
80,1991,365,20,5.48,FALSE
80,1992,366,36,9.84,FALSE
80,1993,365,38,10.41,FALSE
80,1994,365,30,8.22,FALSE
80,1995,365,28,7.67,FALSE
80,1996,366,37,10.11,FALSE
80,1997,365,54,14.79,FALSE
80,1998,365,28,7.67,FALSE
80,1999,365,25,6.85,FALSE
80,2000,366,30,8.2,FALSE
80,2001,365,14,3.84,FALSE
80,2002,365,18,4.93,FALSE
80,2003,365,26,7.12,FALSE
80,2004,366,17,4.64,FALSE
80,2005,365,26,7.12,FALSE
80,2006,365,19,5.21,FALSE
80,2007,365,19,5.21,FALSE
80,2008,366,13,3.55,FALSE
80,2009,365,24,6.58,FALSE
80,2010,365,19,5.21,FALSE
80,2011,365,27,7.4,FALSE
80,2012,366,17,4.64,FALSE
80,2013,365,27,7.4,FALSE
80,2014,365,30,8.22,FALSE
80,2015,365,24,6.58,FALSE
80,2016,366,23,6.28,FALSE
80,2017,365,21,5.75,FALSE
80,2018,365,28,7.67,FALSE
80,2019,365,10,2.74,FALSE
80,2020,366,29,7.92,FALSE
80,2021,365,18,4.93,FALSE
80,2022,365,19,5.21,FALSE
80,2023,365,4,1.1,FALSE
80,2024,366,8,2.19,FALSE
80,2025,365,19,5.21,FALSE
93,1990,365,32,8.77,FALSE
93,1991,365,27,7.4,FALSE
93,1992,366,15,4.1,FALSE
93,1993,365,28,7.67,FALSE
93,1994,365,23,6.3,FALSE
93,1995,365,32,8.77,FALSE
93,1996,366,34,9.29,FALSE
93,1997,365,36,9.86,FALSE
93,1998,365,27,7.4,FALSE
93,1999,365,28,7.67,FALSE
93,2000,366,30,8.2,FALSE
93,2001,365,36,9.86,FALSE
93,2002,365,23,6.3,FALSE
93,2003,365,34,9.32,FALSE
93,2004,366,24,6.56,FALSE
93,2005,365,23,6.3,FALSE
93,2006,365,31,8.49,FALSE
93,2007,365,21,5.75,FALSE
93,2008,366,30,8.2,FALSE
93,2009,365,28,7.67,FALSE
93,2010,365,22,6.03,FALSE
93,2011,365,20,5.48,FALSE
93,2012,366,24,6.56,FALSE
93,2013,334,20,5.99,TRUE
93,2014,365,26,7.12,FALSE
93,2015,365,15,4.11,FALSE
93,2016,366,17,4.64,FALSE
93,2017,365,15,4.11,FALSE
93,2018,215,5,2.33,TRUE
93,2019,365,15,4.11,FALSE
93,2020,306,9,2.94,TRUE
93,2021,365,19,5.21,FALSE
93,2022,365,20,5.48,FALSE
93,2023,365,8,2.19,FALSE
93,2024,366,17,4.64,FALSE
93,2025,365,19,5.21,FALSE
105,1990,365,24,6.58,FALSE
105,1991,365,14,3.84,FALSE
105,1992,366,12,3.28,FALSE
105,1993,365,29,7.95,FALSE
105,1994,365,17,4.66,FALSE
105,1995,365,25,6.85,FALSE
105,1996,366,18,4.92,FALSE
105,1997,365,19,5.21,FALSE
105,1998,365,14,3.84,FALSE
105,1999,365,15,4.11,FALSE
105,2000,366,17,4.64,FALSE
105,2001,365,18,4.93,FALSE
105,2002,365,11,3.01,FALSE
105,2003,365,16,4.38,FALSE
105,2004,366,9,2.46,FALSE
105,2005,365,15,4.11,FALSE
105,2006,365,18,4.93,FALSE
105,2007,365,6,1.64,FALSE
105,2008,366,17,4.64,FALSE
105,2009,365,12,3.29,FALSE
105,2010,365,18,4.93,FALSE
105,2011,365,26,7.12,FALSE
105,2012,366,16,4.37,FALSE
105,2013,365,15,4.11,FALSE
105,2014,365,21,5.75,FALSE
105,2015,365,21,5.75,FALSE
105,2016,366,12,3.28,FALSE
105,2017,365,13,3.56,FALSE
105,2018,365,8,2.19,FALSE
105,2019,365,17,4.66,FALSE
105,2020,366,19,5.19,FALSE
105,2021,365,12,3.29,FALSE
105,2022,365,19,5.21,FALSE
105,2023,365,9,2.47,FALSE
105,2024,366,13,3.55,FALSE
105,2025,365,26,7.12,FALSE
124,1990,365,42,11.51,FALSE
124,1991,365,56,15.34,FALSE
124,1992,366,41,11.2,FALSE
124,1993,335,51,15.22,TRUE
124,1994,273,34,12.45,TRUE
124,1995,365,50,13.7,FALSE
124,1996,182,25,13.74,TRUE
124,1997,0,0,NA,TRUE
124,1998,0,0,NA,TRUE
124,1999,214,54,25.23,TRUE
124,2000,366,71,19.4,FALSE
124,2001,365,61,16.71,FALSE
124,2002,365,72,19.73,FALSE
124,2003,365,51,13.97,FALSE
124,2004,366,53,14.48,FALSE
124,2005,365,44,12.05,FALSE
124,2006,365,64,17.53,FALSE
124,2007,365,51,13.97,FALSE
124,2008,366,52,14.21,FALSE
124,2009,365,84,23.01,FALSE
124,2010,365,69,18.9,FALSE
124,2011,365,53,14.52,FALSE
124,2012,366,52,14.21,FALSE
124,2013,365,66,18.08,FALSE
124,2014,365,81,22.19,FALSE
124,2015,365,50,13.7,FALSE
124,2016,366,65,17.76,FALSE
124,2017,365,38,10.41,FALSE
124,2018,365,64,17.53,FALSE
124,2019,365,44,12.05,FALSE
124,2020,366,43,11.75,FALSE
124,2021,365,35,9.59,FALSE
124,2022,365,34,9.32,FALSE
124,2023,365,41,11.23,FALSE
124,2024,366,47,12.84,FALSE
124,2025,365,44,12.05,FALSE
131,1990,365,57,15.62,FALSE
131,1991,365,54,14.79,FALSE
131,1992,366,48,13.11,FALSE
131,1993,365,54,14.79,FALSE
131,1994,365,71,19.45,FALSE
131,1995,365,76,20.82,FALSE
131,1996,366,74,20.22,FALSE
131,1997,365,54,14.79,FALSE
131,1998,365,69,18.9,FALSE
131,1999,365,51,13.97,FALSE
131,2000,366,64,17.49,FALSE
131,2001,365,38,10.41,FALSE
131,2002,365,37,10.14,FALSE
131,2003,365,61,16.71,FALSE
131,2004,366,64,17.49,FALSE
131,2005,365,41,11.23,FALSE
131,2006,365,56,15.34,FALSE
131,2007,365,41,11.23,FALSE
131,2008,366,26,7.1,FALSE
131,2009,365,38,10.41,FALSE
131,2010,365,29,7.95,FALSE
131,2011,365,54,14.79,FALSE
131,2012,366,30,8.2,FALSE
131,2013,365,20,5.48,FALSE
131,2014,365,21,5.75,FALSE
131,2015,365,20,5.48,FALSE
131,2016,366,18,4.92,FALSE
131,2017,365,9,2.47,FALSE
131,2018,365,17,4.66,FALSE
131,2019,365,12,3.29,FALSE
131,2020,366,20,5.46,FALSE
131,2021,365,22,6.03,FALSE
131,2022,365,16,4.38,FALSE
131,2023,365,8,2.19,FALSE
131,2024,182,4,2.2,TRUE
131,2025,0,0,NA,TRUE
145,1990,365,13,3.56,FALSE
145,1991,365,20,5.48,FALSE
145,1992,366,19,5.19,FALSE
145,1993,365,29,7.95,FALSE
145,1994,365,14,3.84,FALSE
145,1995,365,14,3.84,FALSE
145,1996,366,13,3.55,FALSE
145,1997,365,21,5.75,FALSE
145,1998,365,8,2.19,FALSE
145,1999,365,13,3.56,FALSE
145,2000,366,15,4.1,FALSE
145,2001,365,7,1.92,FALSE
145,2002,365,14,3.84,FALSE
145,2003,365,26,7.12,FALSE
145,2004,366,25,6.83,FALSE
145,2005,365,22,6.03,FALSE
145,2006,365,19,5.21,FALSE
145,2007,365,16,4.38,FALSE
145,2008,366,14,3.83,FALSE
145,2009,365,12,3.29,FALSE
145,2010,365,17,4.66,FALSE
145,2011,365,24,6.58,FALSE
145,2012,366,14,3.83,FALSE
145,2013,365,20,5.48,FALSE
145,2014,365,22,6.03,FALSE
145,2015,365,8,2.19,FALSE
145,2016,366,14,3.83,FALSE
145,2017,365,10,2.74,FALSE
145,2018,365,17,4.66,FALSE
145,2019,364,7,1.92,FALSE
145,2020,366,19,5.19,FALSE
145,2021,365,18,4.93,FALSE
145,2022,365,11,3.01,FALSE
145,2023,267,3,1.12,TRUE
145,2024,259,16,6.18,TRUE
145,2025,248,12,4.84,TRUE
170,1990,365,10,2.74,FALSE
170,1991,365,17,4.66,FALSE
170,1992,366,10,2.73,FALSE
170,1993,365,13,3.56,FALSE
170,1994,365,4,1.1,FALSE
170,1995,365,6,1.64,FALSE
170,1996,366,5,1.37,FALSE
170,1997,365,32,8.77,FALSE
170,1998,365,29,7.95,FALSE
170,1999,365,34,9.32,FALSE
170,2000,366,32,8.74,FALSE
170,2001,365,31,8.49,FALSE
170,2002,365,36,9.86,FALSE
170,2003,365,31,8.49,FALSE
170,2004,366,56,15.3,FALSE
170,2005,365,29,7.95,FALSE
170,2006,365,26,7.12,FALSE
170,2007,365,24,6.58,FALSE
170,2008,366,25,6.83,FALSE
170,2009,365,40,10.96,FALSE
170,2010,365,51,13.97,FALSE
170,2011,365,34,9.32,FALSE
170,2012,366,35,9.56,FALSE
170,2013,365,35,9.59,FALSE
170,2014,0,0,NA,TRUE
170,2015,0,0,NA,TRUE
170,2016,0,0,NA,TRUE
170,2017,0,0,NA,TRUE
170,2018,0,0,NA,TRUE
170,2019,0,0,NA,TRUE
170,2020,0,0,NA,TRUE
170,2021,0,0,NA,TRUE
170,2022,0,0,NA,TRUE
170,2023,0,0,NA,TRUE
170,2024,0,0,NA,TRUE
170,2025,0,0,NA,TRUE
