"month","month_name","fog_days_total","mean_pct","slope_pp_per_yr","p_value","pct_1990s","pct_2016p","change_pct"
1,"Jan",256,11.47,-0.1146,0.458,16.45,12.58,-23.5
2,"Feb",107,5.28,-0.1028,0.189,7.27,4.77,-34.4
3,"Mar",96,4.3,-0.2553,0.00143,8.23,1.29,-84.3
4,"Apr",23,1.06,-0.0676,0.0528,2.5,0.5,-80
5,"May",14,0.63,-0.0187,0.233,0.81,0.16,-80.2
6,"Jun",13,0.6,-0.0049,0.803,0.67,0.33,-50.7
7,"Jul",10,0.45,-0.0154,0.195,0.81,0.32,-60.5
8,"Aug",14,0.63,-0.0357,0.0302,1.45,0,-100
9,"Sep",45,2.08,-0.0989,0.0505,3.67,0.33,-91
10,"Oct",241,10.8,-0.1899,0.055,12.58,7.26,-42.3
11,"Nov",329,15.23,-0.0097,0.944,15,14.17,-5.5
12,"Dec",288,12.9,0.0453,0.713,13.06,11.94,-8.6
