"station","years","first_year","last_year","reporting_days","mean_pct","slope_pp_per_yr","p_value"
"20",14,1990,2007,5023,4.3,0.6684,1e-04
"30",35,1990,2024,12419,4.72,-0.2163,0
"35",18,1990,2007,6329,9.83,-0.1897,0.6326
"80",35,1990,2024,12784,6.46,-0.1252,0.0023
"93",35,1990,2024,12543,6.49,-0.1395,0
"105",35,1990,2024,12784,4.42,-0.0396,0.0922
"124",33,1990,2024,11597,14.99,-0.0645,0.3418
"131",35,1990,2024,12600,10.9,-0.485,0
"145",35,1990,2024,12578,4.4,-0.0281,0.3044
"170",24,1990,2013,8766,7.36,0.37,2e-04
