"panel","station","years","from","to","slope_pp_per_year","p_value"
"all-10 1990-2007",20,13,1990,2007,0.6613,0.000118
"all-10 1990-2007",30,18,1990,2007,-0.4484,0.000146
"all-10 1990-2007",35,17,1990,2007,-0.2165,0.588
"all-10 1990-2007",80,18,1990,2007,-0.1945,0.112
"all-10 1990-2007",93,18,1990,2007,-0.0107,0.885
"all-10 1990-2007",105,18,1990,2007,-0.1523,0.0236
"all-10 1990-2007",124,12,1990,2007,0.1661,0.26
"all-10 1990-2007",131,18,1990,2007,-0.2131,0.164
"all-10 1990-2007",145,18,1990,2007,0.0271,0.727
"all-10 1990-2007",170,18,1990,2007,0.4749,0.00206
"bob-f6 panel 1990-2007",30,18,1990,2007,-0.4484,0.000146
"bob-f6 panel 1990-2007",80,18,1990,2007,-0.1945,0.112
"bob-f6 panel 1990-2007",93,18,1990,2007,-0.0107,0.885
"bob-f6 panel 1990-2007",105,18,1990,2007,-0.1523,0.0236
"bob-f6 panel 1990-2007",124,12,1990,2007,0.1661,0.26
"bob-f6 panel 1990-2007",131,18,1990,2007,-0.2131,0.164
"bob-f6 panel 1990-2007",145,18,1990,2007,0.0271,0.727
"bob-f6 panel 1990-2024",30,33,1990,2024,-0.2095,1.02e-06
"bob-f6 panel 1990-2024",80,35,1990,2024,-0.1252,0.00226
"bob-f6 panel 1990-2024",93,32,1990,2024,-0.1237,5.73e-05
"bob-f6 panel 1990-2024",105,35,1990,2024,-0.0396,0.0922
"bob-f6 panel 1990-2024",124,29,1990,2024,-0.0629,0.378
"bob-f6 panel 1990-2024",131,34,1990,2023,-0.4832,1.59e-10
"bob-f6 panel 1990-2024",145,33,1990,2022,-0.0257,0.365
