"year","rows","nebel_reported","gew_reported","nebel_stations","gew_stations","nebel_coverage_pct","gew_coverage_pct"
1990,3650,3650,3650,10,10,100,100
1991,3650,3650,3650,10,10,100,100
1992,3660,3660,3660,10,10,100,100
1993,3650,3620,3620,10,10,99.18,99.18
1994,3650,3558,3558,10,10,97.48,97.48
1995,3650,3650,3650,10,10,100,100
1996,3660,3476,3476,10,10,94.97,94.97
1997,3650,2675,2675,8,8,73.29,73.29
1998,3650,2920,2920,8,8,80,80
1999,3650,3134,3134,9,9,85.86,85.86
2000,3660,3294,3294,9,9,90,90
2001,3650,3560,3560,10,10,97.53,97.53
2002,3650,3650,3650,10,10,100,100
2003,3650,3650,3650,10,10,100,100
2004,3660,3660,3660,10,10,100,100
2005,3650,3650,3650,10,10,100,100
2006,3650,3650,3650,10,10,100,100
2007,3650,3650,3650,10,10,100,100
2008,3660,2928,2928,8,8,80,80
2009,3650,2920,2920,8,8,80,80
2010,3650,2920,2920,8,8,80,80
2011,3650,2920,2920,8,8,80,80
2012,3660,2928,2928,8,8,80,80
2013,3650,2889,2889,8,8,79.15,79.15
2014,3650,2555,2555,7,7,70,70
2015,3650,2555,2555,7,7,70,70
2016,3660,2562,2562,7,7,70,70
2017,3650,2555,2555,7,7,70,70
2018,3650,2405,2405,7,7,65.89,65.89
2019,3650,2554,3285,7,9,69.97,90
2020,3660,2502,3294,7,9,68.36,90
2021,3650,2555,3285,7,9,70,90
2022,3650,2433,3250,7,9,66.66,89.04
2023,3650,2214,3285,7,9,60.66,90
2024,3660,2271,3294,7,9,62.05,90
2025,3650,2073,3285,6,9,56.79,90
