"year","fog_days","station_days","complete_station_years","fog_days_per_station_year"
1990,217,2555,7,31
1991,228,2555,7,32.57
1992,200,2562,7,28.57
1993,199,2190,6,33.17
1994,184,2190,6,30.67
1995,266,2555,7,38
1996,214,2196,6,35.67
1997,218,2190,6,36.33
1998,162,2190,6,27
1999,161,2190,6,26.83
2000,251,2562,7,35.86
2001,184,2555,7,26.29
2002,189,2555,7,27
2003,224,2555,7,32
2004,199,2562,7,28.43
2005,187,2555,7,26.71
2006,218,2555,7,31.14
2007,162,2555,7,23.14
2008,168,2562,7,24
2009,212,2555,7,30.29
2010,183,2555,7,26.14
2011,225,2555,7,32.14
2012,160,2562,7,22.86
2013,165,2190,6,27.5
2014,214,2555,7,30.57
2015,151,2555,7,21.57
2016,163,2562,7,23.29
2017,114,2555,7,16.29
2018,145,2190,6,24.17
2019,112,2554,7,16
2020,145,2196,6,24.17
2021,136,2555,7,19.43
2022,119,2190,6,19.83
2023,70,1825,5,14
2024,89,1830,5,17.8
