"year","fog_days","n","per_station_year"
1990,217,7,31
1991,228,7,32.5714285714286
1992,200,7,28.5714285714286
1993,199,6,33.1666666666667
1994,184,6,30.6666666666667
1995,266,7,38
1996,214,6,35.6666666666667
1997,218,6,36.3333333333333
1998,162,6,27
1999,161,6,26.8333333333333
2000,251,7,35.8571428571429
2001,184,7,26.2857142857143
2002,189,7,27
2003,224,7,32
2004,199,7,28.4285714285714
2005,187,7,26.7142857142857
2006,218,7,31.1428571428571
2007,162,7,23.1428571428571
2008,168,7,24
2009,212,7,30.2857142857143
2010,183,7,26.1428571428571
2011,225,7,32.1428571428571
2012,160,7,22.8571428571429
2013,165,6,27.5
2014,214,7,30.5714285714286
2015,151,7,21.5714285714286
2016,163,7,23.2857142857143
2017,114,7,16.2857142857143
2018,145,6,24.1666666666667
2019,112,7,16
2020,145,6,24.1666666666667
2021,136,7,19.4285714285714
2022,119,6,19.8333333333333
2023,70,5,14
2024,89,5,17.8
