"threshold","start","end","dropped","stations","first_pct","last_pct","change_pct"
300,1990,2024,"none",7,8.71,5.21,-40.2
300,1990,2025,"none",7,8.71,5.45,-37.5
300,1995,2024,"none",7,9.02,5.21,-42.2
300,1995,2025,"none",7,9.02,5.45,-39.6
300,2000,2024,"none",7,8.19,5.21,-36.4
300,2000,2025,"none",7,8.19,5.45,-33.5
330,1990,2024,"none",7,8.71,5.28,-39.4
330,1990,2025,"none",7,8.71,5.51,-36.8
330,1995,2024,"none",7,9.02,5.28,-41.5
330,1995,2025,"none",7,9.02,5.51,-38.9
330,2000,2024,"none",7,8.19,5.28,-35.6
330,2000,2025,"none",7,8.19,5.51,-32.7
350,1990,2024,"none",7,8.53,5.28,-38.2
350,1990,2025,"none",7,8.53,5.51,-35.4
350,1995,2024,"none",7,9.02,5.28,-41.5
350,1995,2025,"none",7,9.02,5.51,-38.9
350,2000,2024,"none",7,8.19,5.28,-35.6
350,2000,2025,"none",7,8.19,5.51,-32.7
365,1990,2024,"none",7,8.53,5.28,-38.2
365,1990,2025,"none",7,8.53,5.51,-35.4
365,1995,2024,"none",7,9.02,5.28,-41.5
365,1995,2025,"none",7,9.02,5.51,-38.9
365,2000,2024,"none",7,8.19,5.28,-35.6
365,2000,2025,"none",7,8.19,5.51,-32.7
