"station","year","reporting","fog_days","fog_day_pct"
20,1990,365,0,0
20,1991,365,0,0
20,1992,366,0,0
20,1993,365,0,0
20,1994,365,0,0
20,1995,365,2,0.55
20,1996,366,0,0
20,1997,0,0,NA
20,1998,0,0,NA
20,1999,0,0,NA
20,2000,0,0,NA
20,2001,275,20,7.27
20,2002,365,42,11.51
20,2003,365,31,8.49
20,2004,366,37,10.11
20,2005,365,37,10.14
20,2006,365,19,5.21
20,2007,365,28,7.67
20,2008,0,0,NA
20,2009,0,0,NA
20,2010,0,0,NA
20,2011,0,0,NA
20,2012,0,0,NA
20,2013,0,0,NA
20,2014,0,0,NA
20,2015,0,0,NA
20,2016,0,0,NA
20,2017,0,0,NA
20,2018,0,0,NA
20,2019,0,0,NA
20,2020,0,0,NA
20,2021,0,0,NA
20,2022,0,0,NA
20,2023,0,0,NA
20,2024,0,0,NA
30,1990,365,29,7.95
30,1991,365,37,10.14
30,1992,366,29,7.92
30,1993,365,21,5.75
30,1994,365,29,7.95
30,1995,365,41,11.23
30,1996,366,38,10.38
30,1997,365,34,9.32
30,1998,365,16,4.38
30,1999,365,29,7.95
30,2000,366,24,6.56
30,2001,365,10,2.74
30,2002,365,14,3.84
30,2003,365,10,2.74
30,2004,366,7,1.91
30,2005,365,16,4.38
30,2006,365,11,3.01
30,2007,365,8,2.19
30,2008,366,16,4.37
30,2009,365,14,3.84
30,2010,365,9,2.47
30,2011,365,21,5.75
30,2012,366,7,1.91
30,2013,365,17,4.66
30,2014,365,13,3.56
30,2015,365,13,3.56
30,2016,366,14,3.83
30,2017,365,8,2.19
30,2018,365,11,3.01
30,2019,365,7,1.92
30,2020,366,15,4.1
30,2021,365,12,3.29
30,2022,243,1,0.41
30,2023,122,1,0.82
30,2024,366,4,1.09
35,1990,365,0,0
35,1991,365,8,2.19
35,1992,366,19,5.19
35,1993,365,43,11.78
35,1994,365,57,15.62
35,1995,365,91,24.93
35,1996,366,123,33.61
35,1997,120,2,1.67
35,1998,365,25,6.85
35,1999,365,30,8.22
35,2000,366,28,7.65
35,2001,365,35,9.59
35,2002,365,46,12.6
35,2003,365,34,9.32
35,2004,366,30,8.2
35,2005,365,27,7.4
35,2006,365,15,4.11
35,2007,365,9,2.47
35,2008,0,0,NA
35,2009,0,0,NA
35,2010,0,0,NA
35,2011,0,0,NA
35,2012,0,0,NA
35,2013,0,0,NA
35,2014,0,0,NA
35,2015,0,0,NA
35,2016,0,0,NA
35,2017,0,0,NA
35,2018,0,0,NA
35,2019,0,0,NA
35,2020,0,0,NA
35,2021,0,0,NA
35,2022,0,0,NA
35,2023,0,0,NA
35,2024,0,0,NA
80,1990,365,20,5.48
80,1991,365,20,5.48
80,1992,366,36,9.84
80,1993,365,38,10.41
80,1994,365,30,8.22
80,1995,365,28,7.67
80,1996,366,37,10.11
80,1997,365,54,14.79
80,1998,365,28,7.67
80,1999,365,25,6.85
80,2000,366,30,8.2
80,2001,365,14,3.84
80,2002,365,18,4.93
80,2003,365,26,7.12
80,2004,366,17,4.64
80,2005,365,26,7.12
80,2006,365,19,5.21
80,2007,365,19,5.21
80,2008,366,13,3.55
80,2009,365,24,6.58
80,2010,365,19,5.21
80,2011,365,27,7.4
80,2012,366,17,4.64
80,2013,365,27,7.4
80,2014,365,30,8.22
80,2015,365,24,6.58
80,2016,366,23,6.28
80,2017,365,21,5.75
80,2018,365,28,7.67
80,2019,365,10,2.74
80,2020,366,29,7.92
80,2021,365,18,4.93
80,2022,365,19,5.21
80,2023,365,4,1.1
80,2024,366,8,2.19
93,1990,365,32,8.77
93,1991,365,27,7.4
93,1992,366,15,4.1
93,1993,365,28,7.67
93,1994,365,23,6.3
93,1995,365,32,8.77
93,1996,366,34,9.29
93,1997,365,36,9.86
93,1998,365,27,7.4
93,1999,365,28,7.67
93,2000,366,30,8.2
93,2001,365,36,9.86
93,2002,365,23,6.3
93,2003,365,34,9.32
93,2004,366,24,6.56
93,2005,365,23,6.3
93,2006,365,31,8.49
93,2007,365,21,5.75
93,2008,366,30,8.2
93,2009,365,28,7.67
93,2010,365,22,6.03
93,2011,365,20,5.48
93,2012,366,24,6.56
93,2013,334,20,5.99
93,2014,365,26,7.12
93,2015,365,15,4.11
93,2016,366,17,4.64
93,2017,365,15,4.11
93,2018,215,5,2.33
93,2019,365,15,4.11
93,2020,306,9,2.94
93,2021,365,19,5.21
93,2022,365,20,5.48
93,2023,365,8,2.19
93,2024,366,17,4.64
105,1990,365,24,6.58
105,1991,365,14,3.84
105,1992,366,12,3.28
105,1993,365,29,7.95
105,1994,365,17,4.66
105,1995,365,25,6.85
105,1996,366,18,4.92
105,1997,365,19,5.21
105,1998,365,14,3.84
105,1999,365,15,4.11
105,2000,366,17,4.64
105,2001,365,18,4.93
105,2002,365,11,3.01
105,2003,365,16,4.38
105,2004,366,9,2.46
105,2005,365,15,4.11
105,2006,365,18,4.93
105,2007,365,6,1.64
105,2008,366,17,4.64
105,2009,365,12,3.29
105,2010,365,18,4.93
105,2011,365,26,7.12
105,2012,366,16,4.37
105,2013,365,15,4.11
105,2014,365,21,5.75
105,2015,365,21,5.75
105,2016,366,12,3.28
105,2017,365,13,3.56
105,2018,365,8,2.19
105,2019,365,17,4.66
105,2020,366,19,5.19
105,2021,365,12,3.29
105,2022,365,19,5.21
