"year","station_days","fog_days","fog_day_pct","fitted"
1990,730,44,6.027,6.841
1991,730,34,4.658,6.759
1992,732,48,6.557,6.677
1993,730,67,9.178,6.594
1994,730,47,6.438,6.512
1995,730,53,7.26,6.429
1996,732,55,7.514,6.347
1997,730,73,10,6.265
1998,730,42,5.753,6.182
1999,730,40,5.479,6.1
2000,732,47,6.421,6.017
2001,730,32,4.384,5.935
2002,730,29,3.973,5.853
2003,730,42,5.753,5.77
2004,732,26,3.552,5.688
2005,730,41,5.616,5.605
2006,730,37,5.068,5.523
2007,730,25,3.425,5.441
2008,732,30,4.098,5.358
2009,730,36,4.932,5.276
2010,730,37,5.068,5.193
2011,730,53,7.26,5.111
2012,732,33,4.508,5.029
2013,730,42,5.753,4.946
2014,730,51,6.986,4.864
2015,730,45,6.164,4.781
2016,732,35,4.781,4.699
2017,730,34,4.658,4.617
2018,730,36,4.932,4.534
2019,730,27,3.699,4.452
2020,732,48,6.557,4.369
2021,730,30,4.11,4.287
2022,730,38,5.205,4.205
2023,730,13,1.781,4.122
2024,732,21,2.869,4.04
