"winter","station_days","fog_days","fog_day_pct"
1990,364,46,12.637
1991,366,25,6.831
1992,364,54,14.835
1993,364,47,12.912
1994,364,31,8.516
1995,366,74,20.219
1996,364,55,15.11
1997,364,39,10.714
1998,364,44,12.088
1999,366,31,8.47
2000,364,32,8.791
2001,364,28,7.692
2002,364,31,8.516
2003,366,33,9.016
2004,364,27,7.418
2005,364,43,11.813
2006,364,29,7.967
2007,366,30,8.197
2008,364,25,6.868
2009,364,29,7.967
2010,364,38,10.44
2011,366,39,10.656
2012,364,37,10.165
2013,364,45,12.363
2014,364,35,9.615
2015,366,52,14.208
2016,364,38,10.44
2017,364,21,5.769
2018,364,30,8.242
2019,366,40,10.929
2020,364,44,12.088
2021,364,17,4.67
2022,364,40,10.989
2023,366,7,1.913
