"year","fog_days","station_days","fog_day_pct"
1990,44,730,6.03
1991,34,730,4.66
1992,48,732,6.56
1993,67,730,9.18
1994,47,730,6.44
1995,53,730,7.26
1996,55,732,7.51
1997,73,730,10
1998,42,730,5.75
1999,40,730,5.48
2000,47,732,6.42
2001,32,730,4.38
2002,29,730,3.97
2003,42,730,5.75
2004,26,732,3.55
2005,41,730,5.62
2006,37,730,5.07
2007,25,730,3.42
2008,30,732,4.1
2009,36,730,4.93
2010,37,730,5.07
2011,53,730,7.26
2012,33,732,4.51
2013,42,730,5.75
2014,51,730,6.99
2015,45,730,6.16
2016,35,732,4.78
2017,34,730,4.66
2018,36,730,4.93
2019,27,730,3.7
2020,48,732,6.56
2021,30,730,4.11
2022,38,730,5.21
2023,13,730,1.78
2024,21,732,2.87
2025,45,730,6.16
